domain,intent_group,intent,nn-NO,bm-NO,duration,transcription,spontaneous,channel_1,channel_2,speaker,dialect
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),du må lese den her e-posten eg fekk frå ho Anna i går høgt for meg,du må lese den her e-posten jeg fikk fra hun Anna i går høyt for meg,5.136,du må lese den her e-posten eg fekk fra ho anna i går høgt for meg,False,KNN20211012-0937_mix_324527_329663_1.wav,KNN20211012-0937_mix_324527_329663_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),du må lese opp mailen eg fekk i går,du må lese opp mailen jeg fikk i går,3.392,du må lese opp mailen eg fekk i går,False,KNN20211012-0937_mix_329663_333055_1.wav,KNN20211012-0937_mix_329663_333055_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),få høyre mailen eg fekk frå ho Anna i går opplese,få høre mailen jeg fikk fra hun Anna i går opplest,4.617,få høre mailen eg fekk fra ho anna i går opplest,False,KNN20211012-0937_mix_333055_337672_1.wav,KNN20211012-0937_mix_333055_337672_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),eg vil høyre alle e-postane eg har fått frå ho Anna,jeg vil høre alle e-postene jeg har fått fra hun Anna,4.4,eg vil høre alle e-postane eg har fått fra ho anna,False,KNN20211012-0937_mix_337672_342072_1.wav,KNN20211012-0937_mix_337672_342072_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),eg vil høyre e-postane eg fekk i går lese opp høgt,jeg vil høre e-postene jeg fikk i går lest opp høyt,4.72,eg vil høre e-postane eg fekk i går lest opp høgt,False,KNN20211012-0937_mix_342072_346792_1.wav,KNN20211012-0937_mix_342072_346792_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du lese e-mailane frå i går frå ho Anna høgt,kan du lese e-mailene fra i går fra hun Anna høyt,3.953,kan du lese e-mailene fra i går fra ho anna høgt,False,KNN20211012-0937_mix_346792_350745_1.wav,KNN20211012-0937_mix_346792_350745_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du lese e-postane eg fekk 22. mars for meg,kan du lese e-postene jeg fikk 22. mars for meg,4.287,kan du lese e-postane eg fekk toogtyvende mars for meg,False,KNN20211012-0937_mix_350745_355032_1.wav,KNN20211012-0937_mix_350745_355032_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du lese opp den e-posten for meg som eg fekk frå ho Anna søndag,kan du lese opp den e-posten for meg som jeg fikk fra hun Anna på søndag,4.438,kan du lese opp den e-posten for meg som eg fekk fra ho anna på søndag,False,KNN20211012-0937_mix_355032_359470_1.wav,KNN20211012-0937_mix_355032_359470_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du lese opp den mailen eg fekk i går,kan du lese opp den mailen jeg fikk i går,4.02,kan du lese opp den mailen eg fekk i går,False,KNN20211012-0937_mix_359470_363490_1.wav,KNN20211012-0937_mix_359470_363490_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan eg få høyre e-mailen frå ho Anna høgt,kan jeg få høre e-mailen fra hun Anna høyt,3.356,kan eg få høre e-mailen fra ho anna høgt,False,KNN20211012-0937_mix_363490_366846_1.wav,KNN20211012-0937_mix_363490_366846_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan eg få høyre mailane frå 22. mars opplese,kan jeg få høre mailene fra 22. mars opplest,5.803,kan eg få høre e-mail£ nei mailene fra toogtyvende mars opplest ; <bn>,False,KNN20211012-0937_mix_366846_372649_1.wav,KNN20211012-0937_mix_366846_372649_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan eg høyre mailen som eg fekk i går opplese,kan jeg høre mailen som jeg fikk i går opplest,3.744,kan eg høre mailen som eg fekk i går opplest,False,KNN20211012-0937_mix_372649_376393_1.wav,KNN20211012-0937_mix_372649_376393_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les den e-mailen eg fekk på søndag,les den e-mailen jeg fikk på søndag,3.297,les den e-mailen eg fekk på søndag,False,KNN20211012-0937_mix_376393_379690_1.wav,KNN20211012-0937_mix_376393_379690_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les e-mailen frå ho Anna frå i går,les e-mailen fra hun Anna fra i går,3.568,les e-mailen fra ho anna fra i går,False,KNN20211012-0937_mix_379690_383258_1.wav,KNN20211012-0937_mix_379690_383258_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les e-posten høgt frå 22. mars,les e-posten høyt fra 22. mars,3.663,les e-posten høgt fra toogtyvende mars,False,KNN20211012-0937_mix_383258_386921_1.wav,KNN20211012-0937_mix_383258_386921_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les e-posten som eg mottok 22. mars høgt,les e-posten som jeg mottok 22. mars høyt,4.512,les e-posten som eg mottok toogtyvende mars høgt,False,KNN20211012-0937_mix_386921_391433_1.wav,KNN20211012-0937_mix_386921_391433_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les høgt e-posten frå i går,les høyt e-posten fra i går,3.92,les høgt e-posten fra i går,False,KNN20211012-0937_mix_391433_395353_1.wav,KNN20211012-0937_mix_391433_395353_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les høgt e-postane mine frå i går,les høyt e-postene mine fra i går,3.793,les høgt e-postane mine fra i går,False,KNN20211012-0937_mix_395353_399146_1.wav,KNN20211012-0937_mix_395353_399146_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les mailen frå ho Anna høgt takk,les mailen fra hun Anna høyt takk,4.159,les mailen fra ho anna høgt takk,False,KNN20211012-0937_mix_399146_403305_1.wav,KNN20211012-0937_mix_399146_403305_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les mailen som eg fekk i går frå ho Anna,les mailen som jeg fikk i går fra hun Anna,3.151,les mailen som eg fekk i går fra ho anna,False,KNN20211012-0937_mix_403305_406456_1.wav,KNN20211012-0937_mix_403305_406456_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les opp den e-posten som eg fekk på søndag,les opp den e-posten som jeg fikk på søndag,4.161,les opp den posten som eg fekk på søndag,False,KNN20211012-0937_mix_406456_410617_1.wav,KNN20211012-0937_mix_406456_410617_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les opp e-posten frå Anna som eg fekk på søndag takk,les opp e-posten fra Anna som jeg fikk på søndag takk,5.044,les opp e-posten fra anna som eg fekk på søndag takk,False,KNN20211012-0937_mix_410617_415661_1.wav,KNN20211012-0937_mix_410617_415661_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les opp mailen frå i går,les opp mailen fra i går,2.796,les opp mailen fra i går,False,KNN20211012-0937_mix_415661_418457_1.wav,KNN20211012-0937_mix_415661_418457_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),ver så snill og les opp e-posten som eg fekk frå ho Anna,vær så snill og les opp e-posten som jeg fikk fra hun Anna,4.421,vær så snill og les opp e-posten som eg fekk fra ho anna,False,KNN20211012-0937_mix_418457_422878_1.wav,KNN20211012-0937_mix_418457_422878_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),ver så snill og les opp e-postane høgt som eg fekk frå ho Anna i går,vær så snill og les opp e-postene høyt som jeg fikk fra hun Anna i går,5.404,vær så snill og les opp e-postane høgt som eg fekk fra ho anna i går,False,KNN20211012-0937_mix_422878_428282_1.wav,KNN20211012-0937_mix_422878_428282_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),du må lese e-postane som eg fekk i går høgt,du må lese e-postene som jeg fikk i går høyt,3.748,du må lese e-postane som eg fekk i går høgt,False,KNN20211014-0930_mix_319206_322954_1.wav,KNN20211014-0930_mix_319206_322954_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),få høyre e-posten frå søndag,få høre e-posten fra søndag,2.987,få høre e-posten fra søndag,False,KNN20211014-0930_mix_322954_325941_1.wav,KNN20211014-0930_mix_322954_325941_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),eg vil ha e-mailen som eg fekk frå ho Anna 22. mars opplese,jeg vil ha e-mailen som jeg fikk fra hun Anna 22. mars opplest,5.01,eg vil ha e-mailen som eg fekk fra ho anna toogtyvende mars opplest,False,KNN20211014-0930_mix_325941_330951_1.wav,KNN20211014-0930_mix_325941_330951_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),eg vil høyre e-mailen lest opp som eg fekk i går,jeg vil høre e-mailen lest opp som jeg fikk i går,3.521,eg vil høre e-mailen lest opp som eg fekk i går,False,KNN20211014-0930_mix_330951_334472_1.wav,KNN20211014-0930_mix_330951_334472_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du lese den e-posten eg fekk i går frå ho Anna høgt,kan du lese den e-posten jeg fikk i går fra hun Anna høyt,6.175,kan du lese den e-posten eee eg fekk i går fra ho anna høgt,False,KNN20211014-0930_mix_334472_340647_1.wav,KNN20211014-0930_mix_334472_340647_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du lese e-posten eg fekk på søndag,kan du lese e-posten jeg fikk på søndag,3.38,kan du lese e-posten eg fekk på søndag,False,KNN20211014-0930_mix_507420_510800_1.wav,KNN20211014-0930_mix_507420_510800_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du lese høgt det som står i mailen frå ho Anna frå 22. mars,kan du lese høyt det som står i mailen fra hun Anna fra 22. mars,4.824,kan du lese høgt det som står i mailen fra ho anna fra toogtyvende mars,False,KNN20211014-0930_mix_510800_515624_1.wav,KNN20211014-0930_mix_510800_515624_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du lese opp den e-posten høgt som eg fekk frå ho Anna i går,kan du lese opp den e-posten høyt som jeg fikk fra hun Anna i går,4.059,kan du lese opp den e-posten høgt som eg fekk fra ho anna i går,False,KNN20211014-0930_mix_515624_519683_1.wav,KNN20211014-0930_mix_515624_519683_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du vere så snill å lese opp høgt e-posten frå 22. mars,kan du være så snill å lese opp høyt e-posten fra 22. mars,4.899,kan du være så snill å lese opp høgt e-posten fra toogtyvende mars,False,KNN20211014-0930_mix_519683_524582_1.wav,KNN20211014-0930_mix_519683_524582_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan eg få høyre mailen frå ho Anna 22. mars høgt,kan jeg få høre mailen fra hun Anna 22. mars høyt,3.922,kan eg få høre mailen fra ho anna toogtyvende mars høgt,False,KNN20211014-0930_mix_524582_528504_1.wav,KNN20211014-0930_mix_524582_528504_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan eg høyre e-posten eg fekk i går lese opp høgt,kan jeg høre e-posten jeg fikk i går lest opp høyt,3.783,kan eg høre e-posten eg fekk i går lest opp høgt,False,KNN20211014-0930_mix_528504_532287_1.wav,KNN20211014-0930_mix_528504_532287_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan eg vere så snill å få høyre e-posten høgt som eg fekk på søndag frå ho Anna,kan jeg være så snill å få høre e-posten høyt som jeg fikk på søndag fra hun Anna,5.219,kan eg være så snill å få høre e-posten høgt som eg fekk på søndag fra ho anna,False,KNN20211014-0930_mix_532287_537506_1.wav,KNN20211014-0930_mix_532287_537506_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les e-mailen for meg som eg fekk 22. mars,les e-mailen for meg som jeg fikk 22. mars,3.744,les e-mailen for meg som eg fekk toogtyvende mars,False,KNN20211014-0930_mix_537506_541250_1.wav,KNN20211014-0930_mix_537506_541250_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les e-posten frå ho Anna frå i går,les e-posten fra hun Anna fra i går,3.283,les e-posten fra ho anna fra i går,False,KNN20211014-0930_mix_541250_544533_1.wav,KNN20211014-0930_mix_541250_544533_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les e-posten eg fekk i går,les e-posten jeg fikk i går,2.941,les e-posten eg fekk i går,False,KNN20211014-0930_mix_544533_547474_1.wav,KNN20211014-0930_mix_544533_547474_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les høgt alle mailar eg fekk 22. mars,les høyt alle mailer jeg fikk 22. mars,3.489,les høgt alle mailer eg fekk toogtyvende mars,False,KNN20211014-0930_mix_547474_550963_1.wav,KNN20211014-0930_mix_547474_550963_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les høgt e-posten eg fekk i går,les høyt e-posten jeg fikk i går,3.2,les høgt e-posten eg fekk i går,False,KNN20211014-0930_mix_550963_554163_1.wav,KNN20211014-0930_mix_550963_554163_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les mailen frå ho Anna frå i går,les mailen fra hun Anna fra i går,3.176,les mailen fra ho anna fra i går,False,KNN20211014-0930_mix_556970_560146_1.wav,KNN20211014-0930_mix_556970_560146_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les mailen eg fekk den 22. mars høgt,les mailen jeg fikk den 22. mars høyt,2.976,les mailen eg fekk den toogtyvende mars høgt,False,KNN20211014-0930_mix_560146_563122_1.wav,KNN20211014-0930_mix_560146_563122_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les opp den e-mailen ifrå søndag,les opp den e-mailen ifra søndag,2.862,les opp den e-mailen ifra søndag,False,KNN20211014-0930_mix_563122_565984_1.wav,KNN20211014-0930_mix_563122_565984_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les opp den førre e-post til ho Anna,les opp den forrige e-post til hun Anna,3.329,les opp den forrige e-post til ho anna,False,KNN20211014-0930_mix_565984_569313_1.wav,KNN20211014-0930_mix_565984_569313_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),les opp e-posten som eg fekk i går for meg,les opp e-posten som jeg fikk i går for meg,4.227,les opp e-posten som eg fekk i går for meg,False,KNN20211014-0930_mix_569313_573540_1.wav,KNN20211014-0930_mix_569313_573540_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),ver vennleg og les opp mailen frå i går,vennligst les opp mailen fra i går,2.557,vennligst les opp mailen fra i går,False,KNN20211014-0930_mix_573540_576097_1.wav,KNN20211014-0930_mix_573540_576097_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),ver så snill å les høgt e-posten frå ho Anna frå i går,vær så snill å les høyt e-posten fra hun Anna fra i går,4.501,vær så snill og les høgt e-posten fra ho anna fra i går,False,KNN20211014-0930_mix_576097_580598_1.wav,KNN20211014-0930_mix_576097_580598_2.wav,KNN,north
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du opne e-posten ifrå Marie Røsok og fortelje meg kva som står der,kan du åpne e-posten ifra Marie Røsok og fortelle meg hva som står der,6.33,kan du eee åpne e-posten ifrå marie røsok og fortelje meg kva som står der,True,KNV20211103-0930_mix_260053_266383_1.wav,KNV20211103-0930_mix_260053_266383_2.wav,KNV,north-west
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du opne siste melding ifrå Marie Røsok og fortelje meg kva innhaldet er,kan du åpne siste melding ifra Marie Røsok og fortelle meg hva innholdet er,7.114,kan du åpne siste melding ifra marie røsok og fortelje meg kva innholdet er,True,KNV20211103-0930_mix_293809_300923_1.wav,KNV20211103-0930_mix_293809_300923_2.wav,KNV,north-west
e-post,e-post,les opp e-post (fra <kontakt>|fra <tidspunkt>|etter <e-postorden>),kan du opne siste melding ifrå Marie Røsok og lese opp for meg kva ho har skrive,kan du åpne siste melding ifra Marie Røsok og lese opp for meg hva hun har skrevet,6.125,kan du åpne siste melding ifrå marie røsok og lese opp for meg kva ho har skrevet,True,KNV20211103-0930_mix_302923_309048_1.wav,KNV20211103-0930_mix_302923_309048_2.wav,KNV,north-west
e-post,e-post,les opp ny e-post,du må fortelje meg kva slags mailar eg har,du må fortelle meg hva slags mailer jeg har,4.052,du må fortelle meg kva slags mailer eg har,False,KNN20211012-0937_mix_34248_38300_1.wav,KNN20211012-0937_mix_34248_38300_2.wav,KNN,north
e-post,e-post,les opp ny e-post,du må lese e-posten høgt,du må lese e-posten høyt,2.956,du må lese e-posten høgt,False,KNN20211012-0937_mix_38300_41256_1.wav,KNN20211012-0937_mix_38300_41256_2.wav,KNN,north
e-post,e-post,les opp ny e-post,få høyre den nye e-posten,få høre den nye e-posten,2.613,få høre den nye e-posten,False,KNN20211012-0937_mix_41256_43869_1.wav,KNN20211012-0937_mix_41256_43869_2.wav,KNN,north
e-post,e-post,les opp ny e-post,få høyre kva slags e-postar eg har fått,få høre hva slags e-poster jeg har fått,3.532,få høre kva slags e-postar eg har fått,False,KNN20211012-0937_mix_43869_47401_1.wav,KNN20211012-0937_mix_43869_47401_2.wav,KNN,north
e-post,e-post,les opp ny e-post,få høyre kva e-postar eg har,få høre hvilke e-poster jeg har,5.151,få høre eee korsen\korleis eee e-postar eg har,False,KNN20211012-0937_mix_47401_52552_1.wav,KNN20211012-0937_mix_47401_52552_2.wav,KNN,north
e-post,e-post,les opp ny e-post,eg vil ha e-posten opplese,jeg vil ha e-posten opplest,3.6,eg har e-posten opplest ; <ms>,False,KNN20211012-0937_mix_52552_56152_1.wav,KNN20211012-0937_mix_52552_56152_2.wav,KNN,north
e-post,e-post,les opp ny e-post,eg vil høyre e-postane eg har fått,jeg vil høre e-postene jeg har fått,3.505,eg vil høre e-postane eg har fått,False,KNN20211012-0937_mix_56152_59657_1.wav,KNN20211012-0937_mix_56152_59657_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan du fortelje meg kva e-postar eg har fått,kan du fortelle meg hvilke e-poster jeg har fått,4.143,kan du fortelle meg korsen\korleis e-postar eg har fått,False,KNN20211012-0937_mix_59657_63800_1.wav,KNN20211012-0937_mix_59657_63800_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan du lese den e-posten høgt for meg,kan du lese den e-posten høyt for meg,3.295,kan du lese den e-posten høgt for meg,False,KNN20211012-0937_mix_63800_67095_1.wav,KNN20211012-0937_mix_63800_67095_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan du lese e-posten som kom nå,kan du lese e-posten som kom nå,3.217,kan du lese e-posten som kom nå,False,KNN20211012-0937_mix_67095_70312_1.wav,KNN20211012-0937_mix_67095_70312_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan du lese mailen høgt,kan du lese mailen høyt,3.748,kan du lese mailen høgt,False,KNN20211012-0937_mix_70312_74060_1.wav,KNN20211012-0937_mix_70312_74060_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan du lese opp den e-posten for meg,kan du lese opp den e-posten for meg,3.457,kan du lese opp den e-posten for meg,False,KNN20211012-0937_mix_74060_77517_1.wav,KNN20211012-0937_mix_74060_77517_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan du lese opp den e-posten eg nettopp fekk,kan du lese opp den e-posten jeg nettopp fikk,3.808,kan du lese opp den e-posten eg nettopp fekk,False,KNN20211012-0937_mix_77517_81325_1.wav,KNN20211012-0937_mix_77517_81325_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan du vere vennleg og lese mailen høgt,kan du vennligst lese mailen høyt,4.335,kan du vennligst lese mailen høgt,False,KNN20211012-0937_mix_81325_85660_1.wav,KNN20211012-0937_mix_81325_85660_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan eg få høyre den nye mailen høgt,kan jeg få høre den nye mailen høyt,3.601,kan eg få høre den nye mailen høgt ; <bn>,False,KNN20211012-0937_mix_85660_89261_1.wav,KNN20211012-0937_mix_85660_89261_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan eg få høyre e-posten,kan jeg få høre e-posten,2.709,kan eg få høre e-posten,False,KNN20211012-0937_mix_89261_91970_1.wav,KNN20211012-0937_mix_89261_91970_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan eg høyre e-posten eg fekk lese opp høgt,kan jeg høre e-posten jeg fikk lest opp høyt,3.391,kan eg høre e-posten eg fekk lest opp høgt,False,KNN20211012-0937_mix_94720_98111_1.wav,KNN20211012-0937_mix_94720_98111_2.wav,KNN,north
